,0,1
0,bed_to_toilet begin 2009-02-02 07:15:16.575809 r1,groom begin 2009-02-02 07:21:04.014729 r1
1,groom begin 2009-02-02 07:21:04.014729 r1,breakfast begin 2009-02-02 07:45:27.324569 r1
2,breakfast begin 2009-02-02 07:45:27.324569 r1,work_at_computer begin 2009-02-02 14:29:03.019545 r1
3,work_at_computer begin 2009-02-02 14:29:03.019545 r1,work_at_computer begin 2009-02-02 19:00:18.038599 r1
4,work_at_computer begin 2009-02-02 19:00:18.038599 r1,sleep begin 2009-02-02 22:10:55.426609 r1
5,sleep begin 2009-02-02 22:10:55.426609 r1,bed_to_toilet begin 2009-02-03 07:29:33.824249 r1
6,bed_to_toilet begin 2009-02-03 07:29:33.824249 r1,breakfast begin 2009-02-03 08:06:10.968039 r1
7,breakfast begin 2009-02-03 08:06:10.968039 r1,work_at_computer begin 2009-02-03 17:57:46.718869 r1
8,work_at_computer begin 2009-02-03 17:57:46.718869 r1,sleep begin 2009-02-03 22:25:44.003736 r1
9,sleep begin 2009-02-03 22:25:44.003736 r1,bed_to_toilet begin 2009-02-04 07:26:00.036591 r1
10,bed_to_toilet begin 2009-02-04 07:26:00.036591 r1,groom begin 2009-02-04 07:40:06.194149 r1
11,groom begin 2009-02-04 07:40:06.194149 r1,breakfast begin 2009-02-04 07:53:27.537029 r1
12,breakfast begin 2009-02-04 07:53:27.537029 r1,work_at_computer begin 2009-02-04 21:05:38.391809 r1
13,work_at_computer begin 2009-02-04 21:05:38.391809 r1,sleep begin 2009-02-04 22:55:00.029271 r1
14,sleep begin 2009-02-04 22:55:00.029271 r1,bed_to_toilet begin 2009-02-05 06:51:44.041613 r1
15,bed_to_toilet begin 2009-02-05 06:51:44.041613 r1,breakfast begin 2009-02-05 07:23:48.076904 r1
16,breakfast begin 2009-02-05 07:23:48.076904 r1,work_at_computer begin 2009-02-05 18:38:08.062438 r1
17,work_at_computer begin 2009-02-05 18:38:08.062438 r1,groom begin 2009-02-05 23:06:31.035569 r1
18,groom begin 2009-02-05 23:06:31.035569 r1,sleep begin 2009-02-05 23:11:49.038472 r1
19,sleep begin 2009-02-05 23:11:49.038472 r1,bed_to_toilet begin 2009-02-06 07:33:49.097174 r1
20,bed_to_toilet begin 2009-02-06 07:33:49.097174 r1,groom begin 2009-02-06 07:34:24.770119 r1
21,groom begin 2009-02-06 07:34:24.770119 r1,breakfast begin 2009-02-06 08:03:09.246439 r1
22,breakfast begin 2009-02-06 08:03:09.246439 r1,work_at_computer begin 2009-02-06 14:28:41.583709 r1
23,work_at_computer begin 2009-02-06 14:28:41.583709 r1,work_at_dining_room_table begin 2009-02-06 20:01:30.018176 r1
24,work_at_dining_room_table begin 2009-02-06 20:01:30.018176 r1,work_at_computer begin 2009-02-06 20:01:32.016489 r1
25,work_at_computer begin 2009-02-06 20:01:32.016489 r1,sleep begin 2009-02-06 23:52:40.288779 r1
26,sleep begin 2009-02-06 23:52:40.288779 r1,groom begin 2009-02-09 07:49:25.491709 r1
27,groom begin 2009-02-09 07:49:25.491709 r1,bed_to_toilet begin 2009-02-09 07:49:25.491709 r1
28,bed_to_toilet begin 2009-02-09 07:49:25.491709 r1,breakfast begin 2009-02-09 08:22:54.007778 r1
29,breakfast begin 2009-02-09 08:22:54.007778 r1,work_at_computer begin 2009-02-09 15:40:38.000090 r1
30,work_at_computer begin 2009-02-09 15:40:38.000090 r1,work_at_computer begin 2009-02-09 18:46:06.798719 r1
31,work_at_computer begin 2009-02-09 18:46:06.798719 r1,groom begin 2009-02-09 20:40:33.019369 r1
32,groom begin 2009-02-09 20:40:33.019369 r1,sleep begin 2009-02-09 20:45:44.021824 r1
33,sleep begin 2009-02-09 20:45:44.021824 r1,bed_to_toilet begin 2009-02-10 10:28:20.017824 r1
34,bed_to_toilet begin 2009-02-10 10:28:20.017824 r1,work_at_computer begin 2009-02-10 11:00:44.074446 r1
35,work_at_computer begin 2009-02-10 11:00:44.074446 r1,breakfast begin 2009-02-10 11:10:16.038519 r1
36,breakfast begin 2009-02-10 11:10:16.038519 r1,groom begin 2009-02-10 11:51:46.082551 r1
37,groom begin 2009-02-10 11:51:46.082551 r1,work_at_computer begin 2009-02-10 19:15:19.097198 r1
38,work_at_computer begin 2009-02-10 19:15:19.097198 r1,breakfast begin 2009-02-11 09:52:01.324549 r1
39,breakfast begin 2009-02-11 09:52:01.324549 r1,breakfast begin 2009-02-12 07:14:21.351079 r1
40,breakfast begin 2009-02-12 07:14:21.351079 r1,breakfast begin 2009-02-13 08:09:22.039139 r1
41,breakfast begin 2009-02-13 08:09:22.039139 r1,breakfast begin 2009-02-16 08:11:32.513479 r1
42,breakfast begin 2009-02-16 08:11:32.513479 r1,work_at_dining_room_table begin 2009-02-16 17:23:47.723109 r1
43,work_at_dining_room_table begin 2009-02-16 17:23:47.723109 r1,groom begin 2009-02-16 19:13:56.084537 r1
44,groom begin 2009-02-16 19:13:56.084537 r1,work_at_computer begin 2009-02-16 20:42:05.048195 r1
45,work_at_computer begin 2009-02-16 20:42:05.048195 r1,sleep begin 2009-02-16 22:41:07.074547 r1
46,sleep begin 2009-02-16 22:41:07.074547 r1,bed_to_toilet begin 2009-02-16 22:58:02.099424 r1
47,bed_to_toilet begin 2009-02-16 22:58:02.099424 r1,bed_to_toilet begin 2009-02-17 08:35:46.406339 r1
48,bed_to_toilet begin 2009-02-17 08:35:46.406339 r1,groom begin 2009-02-17 08:37:25.008288 r1
49,groom begin 2009-02-17 08:37:25.008288 r1,groom begin 2009-02-17 19:13:02.021054 r1
50,groom begin 2009-02-17 19:13:02.021054 r1,work_at_computer begin 2009-02-17 19:21:08.003955 r1
51,work_at_computer begin 2009-02-17 19:21:08.003955 r1,bed_to_toilet begin 2009-02-17 22:38:01.043843 r1
52,bed_to_toilet begin 2009-02-17 22:38:01.043843 r1,sleep begin 2009-02-17 22:41:57.044577 r1
53,sleep begin 2009-02-17 22:41:57.044577 r1,bed_to_toilet begin 2009-02-18 07:45:29.045319 r1
54,bed_to_toilet begin 2009-02-18 07:45:29.045319 r1,groom begin 2009-02-18 08:01:10.091241 r1
55,groom begin 2009-02-18 08:01:10.091241 r1,breakfast begin 2009-02-18 08:20:13.619999 r1
