,0,1,2,3,4,5,6,7
0,bed_to_toilet begin 2009-02-06 07:33:49.097174 r1,groom begin 2009-02-06 07:34:24.770119 r1,bed_to_toilet end 2009-02-06 07:53:46.392519 r1,groom end 2009-02-06 07:54:01.092629 r1,,,,
1,work_at_dining_room_table begin 2009-02-06 20:01:30.018176 r1,work_at_computer begin 2009-02-06 20:01:32.016489 r1,work_at_dining_room_table end 2009-02-06 22:10:35.724819 r1,work_at_computer end 2009-02-06 22:12:25.051501 r1,,,,
2,groom begin 2009-02-09 07:49:25.491709 r1,bed_to_toilet begin 2009-02-09 07:49:25.491709 r1,bed_to_toilet end 2009-02-09 07:52:27.222409 r1,groom end 2009-02-09 08:09:04.647429 r1,,,,
3,sleep begin 2009-02-16 22:41:07.074547 r1,bed_to_toilet begin 2009-02-16 22:58:02.099424 r1,bed_to_toilet end 2009-02-16 23:00:52.623939 r1,sleep end 2009-02-17 08:34:56.004499 r1,,,,
4,work_at_computer begin 2009-02-20 04:27:50.008817 r1,bed_to_toilet begin 2009-02-20 05:28:16.131059 r1,bed_to_toilet end 2009-02-20 05:43:40.147259 r1,groom begin 2009-02-20 05:44:35.026936 r1,groom end 2009-02-20 06:02:00.003709 r1,work_at_computer end 2009-02-20 06:23:24.012697 r1,,
5,sleep begin 2009-03-02 20:37:55.038661 r1,bed_to_toilet begin 2009-03-02 22:18:03.486279 r1,bed_to_toilet end 2009-03-02 22:20:20.017629 r1,sleep end 2009-03-03 07:08:42.073494 r1,,,,
6,work_at_computer begin 2009-03-03 17:00:05.022157 r1,work_at_dining_room_table begin 2009-03-03 17:26:44.417429 r1,work_at_dining_room_table end 2009-03-03 20:41:12.778209 r1,work_at_computer end 2009-03-03 22:02:24.911289 r1,,,,
7,work_at_computer begin 2009-03-06 14:25:37.182519 r1,work_at_dining_room_table begin 2009-03-06 16:25:32.377399 r1,work_at_dining_room_table end 2009-03-06 17:04:49.059576 r1,work_at_computer end 2009-03-06 17:06:04.026777 r1,,,,
8,work_at_dining_room_table begin 2009-03-10 19:41:14.026658 r1,work_at_computer begin 2009-03-10 19:41:40.130709 r1,work_at_computer end 2009-03-10 22:17:35.004641 r1,sleep begin 2009-03-10 22:21:48.600029 r1,work_at_dining_room_table end 2009-03-10 22:41:16.027466 r1,sleep end 2009-03-11 07:46:43.057989 r1,,
9,work_at_computer begin 2009-03-11 18:21:06.794049 r1,work_at_dining_room_table begin 2009-03-11 19:39:56.842859 r1,work_at_computer end 2009-03-11 22:07:54.063892 r1,work_at_dining_room_table end 2009-03-11 22:09:44.076651 r1,,,,
